Date,Open,High,Low,Close,Adj_Close,Volume
9/28/2022,18.309999,19.6,18,19.360001,19.360001,783200
9/29/2022,19.059999,19.059999,17.690001,18.280001,18.280001,924900
9/30/2022,18.09,18.799999,17.67,17.719999,17.719999,715100
10/3/2022,18,18,17.209999,17.540001,17.540001,868100
10/4/2022,18.08,18.469999,17.73,17.98,17.98,1009400
10/5/2022,17.75,17.75,16.129999,16.91,16.91,1731400
10/6/2022,16.719999,17.429001,16.261,16.32,16.32,992800
10/7/2022,16.129999,16.129999,14.98,15.51,15.51,1299500
10/10/2022,15.57,15.76,14.79,15.14,15.14,826800
10/11/2022,14.87,15.27,14.365,14.83,14.83,904900
10/12/2022,14.85,14.974,14.16,14.59,14.59,673700
10/13/2022,14.01,15.85,13.53,15.46,15.46,1537900
10/14/2022,15.46,15.75,14.24,14.36,14.36,970900
10/17/2022,14.63,15.21,14.51,14.53,14.53,828300
10/18/2022,15.21,15.375,14.355,14.63,14.63,705700
10/19/2022,14.41,14.59,13.68,13.92,13.92,795300
10/20/2022,13.92,14.42,13.588,13.65,13.65,788100
10/21/2022,13.58,13.61,13.06,13.61,13.61,1161900
10/24/2022,13.63,13.64,12.66,13.29,13.29,1248700
10/25/2022,13.25,15.28,13.24,14.55,14.55,1849600
10/26/2022,14.47,15.67,14.33,14.91,14.91,1273100
10/27/2022,15,15.15,14.35,14.44,14.44,743000
10/28/2022,14.43,14.689,13.78,14.47,14.47,880500
10/31/2022,14.5,15.01,14.21,14.8,14.8,1003600
11/1/2022,15.27,15.57,14.305,14.46,14.46,885500
11/2/2022,14.41,14.95,13.77,13.77,13.77,881200
11/3/2022,13.53,14.19,13.5,13.7,13.7,762900
11/4/2022,14.06,14.219,13.101,13.37,13.37,1513600
11/7/2022,13.49,13.661,12.26,12.52,12.52,1261200
11/8/2022,12.66,12.69,11.86,12.3,12.3,1375700
11/9/2022,12.22,13.615,11.7,11.85,11.85,2172500
11/10/2022,12.65,13.93,12.444,13.53,13.53,2085500
11/11/2022,13.845,15.15,13.32,14.83,14.83,1654200
11/14/2022,14.95,15.22,13.79,14.61,14.61,1373900
11/15/2022,15.23,15.42,14.47,14.71,14.71,1204100
11/16/2022,14.525,14.525,13.765,14.05,14.05,921200
11/17/2022,13.75,13.895,13.36,13.87,13.87,776100
11/18/2022,14.32,14.32,13.74,14.02,14.02,1877200
11/21/2022,13.85,13.885,12.78,12.99,12.99,1050500
11/22/2022,12.98,13.2,12.57,12.91,12.91,853500
11/23/2022,12.9,13.46,12.84,13.08,13.08,990600
11/25/2022,13.13,13.3,12.954,13.23,13.23,291000
11/28/2022,13.1,13.18,12.65,12.87,12.87,878100
11/29/2022,12.98,13.5,12.89,12.99,12.99,857300
11/30/2022,13.12,13.88,12.91,13.88,13.88,1693200
12/1/2022,14,14.15,13.385,13.76,13.76,1031400
12/2/2022,13.49,14.535,13.452,14.42,14.42,1177200
12/5/2022,14.36,14.82,14.1,14.59,14.59,1115900
12/6/2022,14.58,14.665,13.36,14.09,14.09,1048100
12/7/2022,13.84,14.17,12.88,13.11,13.11,1429100
12/8/2022,13.27,13.33,12.63,13.22,13.22,1172300
12/9/2022,13.17,13.3,12.32,12.44,12.44,1139500
12/12/2022,12.49,13.245,12.3,12.8,12.8,1059200
12/13/2022,13.46,13.75,12.84,12.97,12.97,1280800
12/14/2022,13,13.305,12.7,13.1,13.1,856200
12/15/2022,12.72,13.11,12.51,12.78,12.78,759600
12/16/2022,12.56,13.01,12.3,12.78,12.78,1753500
12/19/2022,12.79,12.9,11.58,11.98,11.98,1236100
12/20/2022,11.85,12.4,11.8,11.82,11.82,813100
12/21/2022,11.92,12.315,11.73,12.03,12.03,1051400
12/22/2022,11.84,11.875,11.035,11.44,11.44,1295800
12/23/2022,11.34,11.4,11.05,11.115,11.115,900600
12/27/2022,11.02,11.08,10,10.22,10.22,1459500
12/28/2022,10.22,10.45,9.85,10.01,10.01,1088800
12/29/2022,10.13,10.46,10.04,10.19,10.19,1970700
12/30/2022,10.145,11.18,10.12,10.97,10.97,1801900
1/3/2023,11.24,11.35,10.79,10.95,10.95,1016600
1/4/2023,11,11.685,10.88,11.53,11.53,1156300
1/5/2023,11.43,11.43,10.877,11.23,11.23,1244500
1/6/2023,11.05,11.385,10.94,11.26,11.26,683500
1/9/2023,11.55,12.08,11.41,11.68,11.68,1226800
1/10/2023,11.65,12.09,11.5,12.02,12.02,701300
1/11/2023,12.25,12.7,12.01,12.41,12.41,1059300
1/12/2023,12.61,13.2,12.15,13.02,13.02,1166600
1/13/2023,12.65,13.875,12.63,13.57,13.57,1359300
1/17/2023,13.75,14.16,13.47,13.82,13.82,1239500
1/18/2023,14.12,14.48,13.23,13.25,13.25,1766400
1/19/2023,12.82,13,11.96,12.28,12.28,1552800
1/20/2023,12.43,13.3,12.24,13.15,13.15,1063200
1/23/2023,13.2,14.3,13.1,14.15,14.15,1327300
1/24/2023,13.91,14.25,13.4,13.445,13.445,858500
1/25/2023,13.1,14.18,12.82,13.93,13.93,878100
1/26/2023,14.33,14.45,13.53,13.7,13.7,783000
1/27/2023,13.57,14.81,13.45,14.13,14.13,1387200
1/30/2023,13.87,13.95,13.114,13.3,13.3,1263800
1/31/2023,13.33,13.71,13.19,13.61,13.61,615300
2/1/2023,14.06,14.22,13.19,13.96,13.96,1689400
2/2/2023,14.39,15.4,14.275,15,15,2126500
2/3/2023,14.48,15.27,13.88,14.055,14.055,1668400
2/6/2023,13.69,14.24,13.53,13.86,13.86,1481500
2/7/2023,12.4,12.46,11.6,11.97,11.97,11305000
2/8/2023,11.97,12.199,11.75,11.76,11.76,2425600
2/9/2023,11.84,11.91,10.71,10.84,10.84,4533700
2/10/2023,10.7,10.888,10.245,10.26,10.26,2748900
2/13/2023,10.33,10.33,9.95,10.02,10.02,2690300
2/14/2023,10.01,10.56,9.82,10.32,10.32,2665600
2/15/2023,10.28,11.13,10.21,11.03,11.03,3266100
2/16/2023,10.89,11.329,10.51,10.51,10.51,2206000
2/17/2023,10.42,10.58,10.19,10.57,10.57,1465400
2/21/2023,10.34,10.42,9.97,10.04,10.04,2132500
2/22/2023,10.01,10.225,9.85,10,10,1789000
2/23/2023,10.09,10.18,9.713,9.96,9.96,1683000
2/24/2023,9.7,9.71,8.96,9.04,9.04,2916900
2/27/2023,9.27,9.29,8.995,9.06,9.06,2091900
2/28/2023,9.17,9.21,8.89,9.05,9.05,2977500
3/1/2023,9.64,10.55,9.095,9.12,9.12,7293400
3/2/2023,8.83,8.93,8.38,8.92,8.92,4238500
3/3/2023,8.91,9.47,8.82,9.3,9.3,3044100
3/6/2023,9.36,9.66,8.85,8.89,8.89,3155700
3/7/2023,8.82,9.08,8.553,8.79,8.79,2024400
3/8/2023,8.7,8.79,8.44,8.67,8.67,1973500
3/9/2023,8.6,8.78,8.12,8.18,8.18,2122600
