Date,Open,High,Low,Close,Adj Close,Volume
2022-09-28,8.520000,8.770000,8.390000,8.670000,8.670000,1714100
2022-09-29,8.520000,8.569000,7.800000,7.970000,7.970000,2476100
2022-09-30,7.900000,8.195000,7.730000,7.910000,7.910000,1398300
2022-10-03,8.080000,8.240000,7.620000,8.130000,8.130000,1857300
2022-10-04,8.350000,8.715000,8.290000,8.710000,8.710000,2382200
2022-10-05,8.430000,8.480000,8.020000,8.360000,8.360000,1464700
2022-10-06,8.300000,8.820000,8.160000,8.170000,8.170000,1404200
2022-10-07,8.010000,8.129000,7.820000,7.940000,7.940000,1114900
2022-10-10,8.000000,8.000000,7.520000,7.650000,7.650000,1250400
2022-10-11,7.520000,7.560000,7.010000,7.350000,7.350000,2378500
2022-10-12,7.350000,7.350000,7.050000,7.100000,7.100000,1471800
2022-10-13,6.890000,7.534000,6.810000,7.430000,7.430000,1596000
2022-10-14,7.500000,7.630000,7.020000,7.040000,7.040000,1173000
2022-10-17,7.280000,7.540000,7.190000,7.340000,7.340000,1115100
2022-10-18,7.610000,7.740000,7.330000,7.590000,7.590000,1205600
2022-10-19,7.460000,7.460000,7.170000,7.360000,7.360000,1069600
2022-10-20,7.290000,7.670000,7.270000,7.330000,7.330000,847900
2022-10-21,7.280000,7.440000,7.087000,7.440000,7.440000,1100400
2022-10-24,7.390000,7.400000,7.020000,7.050000,7.050000,1601300
2022-10-25,7.000000,7.620000,6.990000,7.480000,7.480000,2161100
2022-10-26,7.410000,7.835000,7.320000,7.500000,7.500000,1636700
2022-10-27,7.530000,7.680000,7.240000,7.250000,7.250000,1839300
2022-10-28,7.200000,7.560000,7.020000,7.510000,7.510000,1968400
2022-10-31,7.490000,7.672000,7.370000,7.410000,7.410000,1346700
2022-11-01,7.660000,7.730000,7.305000,7.350000,7.350000,1284800
2022-11-02,7.310000,7.430000,6.870000,6.870000,6.870000,1948400
2022-11-03,6.870000,7.250000,6.760000,7.120000,7.120000,2898700
2022-11-04,7.250000,7.390000,6.930000,7.210000,7.210000,2036000
2022-11-07,7.180000,7.250000,6.900000,7.060000,7.060000,1577300
2022-11-08,7.120000,7.135000,6.680000,6.830000,6.830000,1914300
2022-11-09,6.760000,6.828000,6.430000,6.470000,6.470000,1908000
2022-11-10,7.070000,7.270000,6.800000,7.210000,7.210000,2922300
2022-11-11,7.265000,7.600000,7.190000,7.470000,7.470000,1947400
2022-11-14,7.380000,7.400000,7.043000,7.230000,7.230000,1612100
2022-11-15,7.510000,7.520000,7.150000,7.280000,7.280000,1647900
2022-11-16,7.155000,7.159000,6.890000,6.890000,6.890000,1591300
2022-11-17,6.710000,6.820000,6.510000,6.800000,6.800000,1918300
2022-11-18,7.000000,7.010000,6.575000,6.590000,6.590000,1456900
2022-11-21,6.450000,6.555000,6.360000,6.440000,6.440000,1325300
2022-11-22,6.440000,6.590000,6.250000,6.290000,6.290000,1300600
2022-11-23,6.300000,6.350000,6.110000,6.320000,6.320000,1832000
2022-11-25,6.250000,6.320000,6.200000,6.220000,6.220000,430000
2022-11-28,6.210000,6.272000,6.010000,6.020000,6.020000,1414600
2022-11-29,6.000000,6.235000,6.000000,6.080000,6.080000,1013300
2022-11-30,6.100000,6.420000,6.050000,6.400000,6.400000,2107000
2022-12-01,6.400000,6.470000,6.060000,6.080000,6.080000,1827600
2022-12-02,6.000000,6.185000,5.940000,6.090000,6.090000,1435000
2022-12-05,6.050000,6.135000,5.900000,5.950000,5.950000,1661700
2022-12-06,5.930000,5.970000,5.580000,5.860000,5.860000,2565900
2022-12-07,5.790000,5.945000,5.720000,5.740000,5.740000,1163100
2022-12-08,5.730000,5.870000,5.601000,5.780000,5.780000,1375200
2022-12-09,5.740000,5.800000,5.560000,5.570000,5.570000,1341600
2022-12-12,5.550000,5.600000,5.410000,5.450000,5.450000,1632700
2022-12-13,5.750000,6.030000,5.370000,5.430000,5.430000,2632600
2022-12-14,5.410000,5.640000,5.320000,5.540000,5.540000,2467700
2022-12-15,5.420000,5.534000,5.370000,5.400000,5.400000,1586000
2022-12-16,5.350000,5.360000,4.990000,5.180000,5.180000,4989100
2022-12-19,5.180000,5.180000,4.865000,4.900000,4.900000,2195800
2022-12-20,4.800000,4.860000,4.420000,4.440000,4.440000,3403700
2022-12-21,4.490000,4.530000,4.360000,4.380000,4.380000,2742200
2022-12-22,4.290000,4.340000,4.060000,4.130000,4.130000,3036300
2022-12-23,4.080000,4.140000,3.910000,4.090000,4.090000,2332600
2022-12-27,4.080000,4.100000,3.690000,3.770000,3.770000,3413100
2022-12-28,3.760000,3.805000,3.650000,3.670000,3.670000,3958300
2022-12-29,3.750000,4.105000,3.650000,4.010000,4.010000,4421100
2022-12-30,3.990000,4.630000,3.930000,4.470000,4.470000,4180500
2023-01-03,4.720000,4.760000,4.110000,4.110000,4.110000,2653800
2023-01-04,4.140000,4.199000,3.920000,3.980000,3.980000,2785000
2023-01-05,4.000000,4.060000,3.760000,3.790000,3.790000,4372200
2023-01-06,3.830000,3.890000,3.640000,3.890000,3.890000,3583800
2023-01-09,3.920000,4.160000,3.860000,3.870000,3.870000,2989000
2023-01-10,3.900000,4.790000,3.885000,4.750000,4.750000,5583400
2023-01-11,5.080000,5.300000,4.785000,5.240000,5.240000,5282300
2023-01-12,5.380000,5.825000,5.020000,5.750000,5.750000,4439400
2023-01-13,5.625000,6.090000,5.470000,5.860000,5.860000,3495600
2023-01-17,5.860000,5.940000,5.280000,5.610000,5.610000,4649600
2023-01-18,5.750000,6.070000,5.590000,5.770000,5.770000,3545700
